rank,lemma,PoS,DISPERSION,TOT FREQ,SPOKEN,FICTION,POP MAG,NEWSPAPER,ACADEMIC,MAG:News/Opin,MAG:Financial,MAG:Sci/Tech,MAG:Soc/Arts,MAG:Religion,MAG:Sports,MAG:Entertain,MAG:Home/Health,MAG:Afric-Amer,MAG:Children,MAG:Women/Men,NEWS:Misc,NEWS:News_Intl,NEWS:News_Natl,NEWS:News_Local,NEWS:Money,NEWS:Life,NEWS:Sports,NEWS:Editorial,ACAD:History,ACAD:Education,ACAD:Geog/SocSci,ACAD:Law/PolSci,ACAD:Humanities,ACAD:Phil/Rel,ACAD:Sci/Tech,ACAD:Medicine,ACAD:Misc,SPOK:ABC,SPOK:NBC,SPOK:CBS,SPOK:CNN,SPOK:FOX,SPOK:MSNBC,SPOK:PBS,SPOK:NPR,SPOK:Indep,FIC:Gen (Book),FIC:Gen (Jrnl),FIC:SciFi/Fant,FIC:Juvenile,FIC:Movies
1,the,a,0.98,22038906,3859682,4092394,4544271,4284053,5137949,1013746,260789,638387,441561,208652,587686,184044,665394,155880,110449,277683,1419427,256540,332146,301748,360284,736351,631984,245573,803690,409274,893669,573347,701462,424396,817622,293103,221386,669483,203736,514707,905085,237968,39024,327824,800660,161195,923333,1670247,871429,139403,487982
11,I,p,0.93,3978498,1346545,1382716,569402,465379,168243,81278,20985,44869,46122,25421,81779,47149,70243,41230,19419,90907,143925,11129,23362,31017,18642,97125,100088,40091,15691,13509,29577,16327,27339,18637,15420,3231,28512,216020,85655,191392,305613,84258,11875,79359,248076,124297,318258,614447,275531,53524,120956
21,they,p,0.96,1865844,609735,352405,312468,334313,246811,70078,21577,38877,22719,15094,34934,14791,42084,13003,11069,28242,115321,19129,23290,24064,29301,55876,48989,18343,37603,28585,51181,25269,29419,19491,32489,9154,13620,103548,36563,83160,145017,41362,6871,41164,117438,34612,76181,146477,80987,12622,36138
31,she,p,0.91,1485143,212920,798208,194131,192542,57239,31338,6557,11830,14292,5889,8068,19725,20685,22880,8939,43928,73186,5712,15207,19093,8588,50826,13519,6411,6039,5490,11288,3916,13081,4469,3560,2158,7238,35687,23499,38341,37909,13158,2051,5092,29627,27556,227470,353904,136803,32177,47854
41,would,v,0.97,925515,233766,229865,154298,165039,134845,44269,10098,18242,12859,7489,17018,7586,15360,5177,3724,12476,56127,9251,13075,12617,15237,21516,24051,13165,23063,9687,23587,20483,13499,12199,19462,4792,8073,41995,14662,32474,53669,14837,1986,19059,42922,12162,60518,100968,52241,7990,8148
51,one,m,0.98,768232,172827,147159,169241,148422,126354,34419,10951,21970,13361,6340,22381,8088,26641,6369,4854,13867,49476,7539,10068,9539,11645,27504,25243,7408,16536,12091,24007,11708,17539,10152,20537,6832,6952,31000,10436,25615,38678,9410,1613,11148,36024,8903,34255,61135,31600,5431,14738
61,me,p,0.92,709899,180076,320073,101219,69436,29588,16947,3310,7666,6632,5096,12903,8349,10868,8271,3466,17711,22111,1616,3494,4466,2195,14827,14682,6045,2419,2219,5579,2030,5708,3134,2126,517,5856,30398,12218,27064,38284,10419,2068,8644,30592,20389,71202,144969,60720,11998,31184
71,could,v,0.96,617932,119869,207758,107252,99345,76709,25325,8018,14814,9042,3773,12809,5254,11411,3608,3637,9561,33028,4857,7368,6683,9565,14275,17409,6160,12500,5916,12625,9699,8174,6363,12745,3854,4833,21598,8896,18140,26329,6825,1131,7595,23280,6075,52801,87746,51692,7764,7755
81,more,r,0.97,517536,86107,64964,126152,96434,141707,25630,8917,18628,10487,5720,14023,4153,21351,4124,2961,10158,33151,4562,6641,5611,10689,18613,11338,5829,19703,15215,31807,14481,15811,12098,19782,6815,5995,14574,5047,11060,19793,4983,814,7015,19496,3325,15790,25807,16367,2014,4986
91,more,d,0.97,420170,90459,54641,103314,104634,65347,20435,8683,13705,7303,3216,13865,3493,18479,4134,2755,7246,35884,4997,7864,8002,12975,16172,13191,5549,8179,6770,13663,6639,6242,4149,13244,3636,2825,15527,5106,12313,23225,5228,765,7628,16823,3844,13445,20386,14086,1995,4729
101,only,r,0.98,379574,51930,76074,87130,69043,93186,19167,6019,13287,7117,4291,10674,3008,12973,2649,2045,5900,22334,3938,4333,4550,5830,11254,11570,5234,13678,6686,16883,10169,12672,8775,14202,5038,5083,10318,2953,7117,11387,2731,510,4122,10345,2447,17922,32601,18232,2577,4742
111,woman,n,0.98,341422,60731,78706,72887,57294,69531,13886,1417,5602,3069,3994,3248,2956,10316,8860,883,18656,21304,2653,4184,4115,2143,12655,6199,4041,12607,4066,25314,3005,10382,6022,2974,2335,2826,11844,5524,8733,11901,2825,515,3209,10216,5964,20165,37599,11410,2250,7282
121,should,v,0.98,310265,77547,47244,60223,52593,71038,12640,4174,6364,3046,3343,7165,1697,11614,2694,2099,5387,16909,2396,3540,3999,3967,7496,7013,7273,10400,9722,11764,8940,7736,5288,9067,5286,2835,13846,4184,9636,20327,6460,923,6411,11805,3955,11491,18658,10684,1884,4527
131,ask,v,0.96,284632,68414,93681,46133,43080,29489,10107,3068,3723,2214,2516,4704,2492,6048,2092,2301,6868,15260,2263,3482,3322,3013,7228,6034,2478,3217,4426,6767,2395,3629,2781,2793,1327,2154,12683,3954,9310,17280,4633,816,4245,10958,4535,23896,41026,21005,4377,3377
141,high,j,0.96,255936,32168,26812,56847,58139,81210,10476,5059,7440,3463,1460,7944,1969,11817,2363,1282,3574,20539,1981,3902,5138,6025,8753,9067,2734,6836,15234,20129,4634,4652,5191,15133,6818,2583,5220,1726,4365,7925,1744,257,2854,6885,1192,6151,11410,5326,1129,2796
151,put,v,0.96,237480,68277,59445,46213,42678,18797,9259,3897,4153,3018,1468,6265,2356,7089,1988,1801,4919,13820,1827,2608,2858,4018,7784,7299,2464,2994,1112,2842,2584,2740,1705,2720,517,1583,11609,4738,10946,15284,4263,593,4612,12160,4072,13675,25029,10544,2333,7864
161,same,d,0.98,222836,44328,39161,49282,39256,49589,9557,2995,8160,4014,2172,6332,2022,7253,1775,1142,3860,13169,1632,2685,2366,3848,6757,5925,2874,6634,4326,8669,4962,7837,4674,7568,2425,2494,7474,2564,5954,10044,2770,422,3405,9334,2361,8628,16415,8072,1134,4912
171,problem,n,0.96,217728,58392,15717,42234,40014,60684,9151,2805,6639,2532,1699,4028,1106,8035,1581,1157,3501,14803,2225,2992,3089,4444,4794,4616,3051,7777,9952,11451,6629,4209,3884,10174,4992,1616,11661,2665,7061,13789,3785,578,6093,10072,2688,3686,5379,4225,624,1803
181,place,n,0.98,202427,39866,47236,41426,38947,33533,7921,2176,4849,3978,2110,6079,1630,7277,1361,1054,2991,14056,1701,2396,3067,2234,8546,4731,2216,5424,1946,7425,2970,5575,3101,4200,829,2063,6493,2139,6162,8738,2042,351,2949,9390,1602,11477,19915,10085,1554,4205
191,system,n,0.94,200184,26726,8634,48210,36982,79322,9788,4525,14278,3069,1048,4343,821,7347,863,599,1529,13958,1917,3242,3321,5953,3880,2157,2554,9522,6331,10405,8668,4157,3633,27871,7422,1313,4880,815,3028,6157,1222,239,3408,6137,840,1219,2537,3919,117,842
201,government,n,0.94,191323,51238,4579,30872,48169,56080,16452,2237,1655,2907,1415,1453,739,1985,637,171,1221,17659,9663,5547,2890,5321,2641,452,3996,19923,1078,7685,15286,2003,2800,5521,797,987,10041,1084,4876,12328,3295,495,7494,10394,1231,1084,1621,1297,183,394
211,point,n,0.97,177481,52598,19328,32399,39271,33218,6300,2419,4198,2755,1420,6117,1246,4160,1081,526,2177,9455,1179,1629,2365,2428,5281,15480,1454,4234,2814,5564,3209,5246,3258,5081,1874,1938,9832,2363,5707,13772,4236,595,4913,9003,2177,4362,7816,4731,497,1922
221,all,r,0.93,177317,78464,46018,21778,17690,11880,4744,1236,2427,1496,870,2628,1371,3006,837,792,2371,5732,717,1077,1115,1180,3621,2988,1260,1536,823,2295,1258,1771,1176,1525,428,1068,12873,6351,12608,19071,7167,840,3541,9779,6234,10574,18512,10481,1731,4720
231,national,j,0.95,166359,29664,2962,39689,43301,50486,10753,1786,2920,3535,1260,9546,772,4583,1962,932,1640,15288,2606,4530,2554,3113,6215,6832,2163,11122,3584,8808,7667,5644,1950,8668,1790,1253,4547,922,2939,6650,2186,350,3084,8161,825,791,1247,462,113,349
241,book,n,0.98,154013,35441,26546,33307,31568,26316,8032,1573,3149,3559,2503,1950,1490,5029,1523,1300,3199,12480,687,1907,1680,2119,9931,1322,1442,3846,2061,2593,1764,5393,2466,2240,208,5745,3830,2587,4663,8162,2047,253,1580,10328,1991,5998,12407,4392,1121,2628
251,head,n,0.91,160131,16770,83140,26897,19429,11611,5041,1173,2690,1821,525,4483,1452,4341,923,1743,2705,6319,1427,1424,1359,1316,3541,3081,962,1450,698,1701,717,2594,585,1727,1398,741,2867,1218,2696,3306,876,189,1066,3663,889,18619,31918,17662,3089,11852
261,long,r,0.97,142007,22658,38976,32807,26234,20312,7114,2004,4253,2552,1349,4305,1239,5263,1167,879,2682,8667,1421,1892,1706,2302,4722,3801,1723,3464,1063,3292,2491,2931,1785,3051,692,1543,4282,1354,3558,5012,1086,146,1562,4424,1234,8994,16729,9318,1321,2614
271,power,n,0.95,141357,20950,12374,32457,25818,49391,8955,1567,5722,2567,1813,4216,928,3609,1146,359,1575,8936,2950,2129,1397,2964,3021,2398,2023,11769,1658,8308,8841,5240,3912,6735,1141,1787,3818,703,2038,5023,1243,177,2467,4843,638,2401,3978,4133,474,1388
281,stand,v,0.92,140937,21893,67559,22131,17265,10398,4747,857,2003,1873,911,3353,1028,3616,868,883,1992,5969,1007,1243,1183,908,3154,2411,1390,1639,390,1583,1069,2165,1100,1139,298,1015,3867,1270,3029,5025,1600,189,1380,4006,1527,14465,27946,12818,2434,9896
291,almost,r,0.98,127907,24686,32637,28570,23087,17791,6490,2006,3665,2655,934,3763,1288,4053,766,833,2117,7950,1186,1357,1383,2071,4701,3213,1226,2918,1061,3373,1905,2353,1188,2868,728,1397,4763,1675,4011,4921,1152,194,1524,5521,925,7790,13166,7787,1111,2783
301,white,j,0.96,126760,13448,37129,29474,21595,24083,6127,757,2501,3902,628,2250,1448,6582,2444,710,2125,7983,666,1409,1571,513,5463,2592,1398,4682,1678,4322,747,3070,1206,5394,1593,1391,2323,730,2190,1909,684,71,956,3576,1009,9231,17577,5568,1209,3544
311,idea,n,0.98,122140,27224,20006,26245,19515,28404,5962,2209,3722,3199,1077,1804,1228,3268,740,735,2301,6962,854,1187,1197,1836,4393,1519,1567,4122,3163,3888,3041,5626,2788,3144,472,2160,4123,1707,3879,5782,1690,254,1801,6720,1268,4782,7889,4740,849,1746
